layer_height (A),nozzle temperature (B) ,bed_temperature (C) ,fan_speed (D),roughness,tension_strength,elongation
0.05,220,60,50,118,16,1.3
0.05,220,60,50,120,15.9,1.1
0.05,220,60,50,118,16,1.3
0.05,220,60,100,127,12.3,0.9
0.05,220,60,100,129,12.2,0.8
0.05,220,60,100,128,12.3,0.9
0.05,220,80,50,186,9.6,0.7
0.05,220,80,50,189,9.5,0.5
0.05,220,80,50,188,9.5,0.6
0.05,220,80,100,74,29,2
0.05,220,80,100,73,30,2.3
0.05,220,80,100,74,29,2.1
0.05,240,60,50,76,31,2.3
0.05,240,60,50,74,26,2.2
0.05,240,60,50,75,28,2.2
0.05,240,60,100,91,25,1.8
0.05,240,60,100,89,21,1.7
0.05,240,60,100,90,22,1.7
0.05,240,80,50,203,13,1.5
0.05,240,80,50,205,12.5,1.2
0.05,240,80,50,204,12.8,1.4
0.05,240,80,100,220,10,1
0.05,240,80,100,221,10.1,0.8
0.05,240,80,100,220,10,1
0.1,220,60,50,120,16,1.2
0.1,220,60,50,125,16.2,1.1
0.1,220,60,50,121,16.1,1.1
0.1,220,60,100,180,11,1.6
0.1,220,60,100,183,10.8,1.7
0.1,220,60,100,181,10.9,1.6
0.1,220,80,50,128,18,1.8
0.1,220,80,50,126,17.5,1.9
0.1,220,80,50,127,18,1.8
0.1,220,80,100,121,14,1.5
0.1,220,80,100,124,13.6,1.4
0.1,220,80,100,123,13,1.4
0.1,240,60,50,77,23,1.9
0.1,240,60,50,81,23.3,1.7
0.1,240,60,50,78,23,1.9
0.1,240,60,100,140,17.6,1.3
0.1,240,60,100,145,17.9,1.1
0.1,240,60,100,141,17.66,1.26
0.1,240,80,50,337,9.8,0.5
0.1,240,80,50,341,10,0.7
0.1,240,80,50,339,9.3,0.5
0.1,240,80,100,368,8,0.4
0.1,240,80,100,373,8.4,0.5
0.1,240,80,100,369,8.1,0.4
0.15,220,60,50,168,27,2.4
0.15,220,60,50,166,29,2.5
0.15,220,60,50,166,28,2.5
0.15,220,60,100,192,33,2.8
0.15,220,60,100,191,35,2.9
0.15,220,60,100,190,33,1.9
0.15,220,80,50,168,26,2.1
0.15,220,80,50,173,25,2
0.15,220,80,50,170,26,2.1
0.15,220,80,100,163,4,0.7
0.15,220,80,100,160,3.5,0.5
0.15,220,80,100,161,3,0.6
0.15,240,60,50,225,18,1.4
0.15,240,60,50,226,17,1.2
0.15,240,60,50,225,17.8,1.3
0.15,240,60,100,243,13.8,0.5
0.15,240,60,100,245,13,0.4
0.15,240,60,100,243,13,0.4
0.15,240,80,50,298,2.9,0.9
0.15,240,80,50,296,3.1,0.7
0.15,240,80,50,298,2.9,0.9
0.15,240,80,100,326,13,0.7
0.15,240,80,100,324,13,0.6
0.15,240,80,100,325,13,0.7
0.2,220,60,50,212,35,3.3
0.2,220,60,50,221,28,2.7
0.2,220,60,50,216,31.5,3
0.2,220,60,100,298,28,2.2
0.2,220,60,100,278,30,3.2
0.2,220,60,100,285,28,2.8
0.2,220,80,50,206,5.7,4.2
0.2,220,80,50,201,6,4
0.2,220,80,50,204,6,4
0.2,220,80,100,224,25,3.2
0.2,220,80,100,220,27,3.1
0.2,220,80,100,223,25.5,3.2
0.2,240,60,50,135,41,2.2
0.2,240,60,50,135,43,2.4
0.2,240,60,50,135,42.3,2.3
0.2,240,60,100,148,33,1.6
0.2,240,60,100,147,35,1.8
0.2,240,60,100,147,34.2,1.7
0.2,240,80,100,357,21,1.1
0.2,240,80,100,356,22,1.2
0.2,240,80,100,356,21.2,1.1
0.2,240,80,50,327,26,1.4
0.2,240,80,50,325,27,1.6
0.2,240,80,50,325,26.6,1.5
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
