layer_height (A),nozzle temperature (B) ,bed_temperature (C) ,fan_speed (D),elongation
0.05,220,60,50,1.3
0.05,220,60,50,1.1
0.05,220,60,50,1.3
0.05,220,60,100,0.9
0.05,220,60,100,0.8
0.05,220,60,100,0.9
0.05,220,80,50,0.7
0.05,220,80,50,0.5
0.05,220,80,50,0.6
0.05,220,80,100,2.0
0.05,220,80,100,2.3
0.05,220,80,100,2.1
0.05,240,60,50,2.3
0.05,240,60,50,2.2
0.05,240,60,50,2.2
0.05,240,60,100,1.8
0.05,240,60,100,1.7
0.05,240,60,100,1.7
0.05,240,80,50,1.5
0.05,240,80,50,1.2
0.05,240,80,50,1.4
0.05,240,80,100,1.0
0.05,240,80,100,0.8
0.05,240,80,100,1.0
0.1,220,60,50,1.2
0.1,220,60,50,1.1
0.1,220,60,50,1.1
0.1,220,60,100,1.6
0.1,220,60,100,1.7
0.1,220,60,100,1.6
0.1,220,80,50,1.8
0.1,220,80,50,1.9
0.1,220,80,50,1.8
0.1,220,80,100,1.5
0.1,220,80,100,1.4
0.1,220,80,100,1.4
0.1,240,60,50,1.9
0.1,240,60,50,1.7
0.1,240,60,50,1.9
0.1,240,60,100,1.3
0.1,240,60,100,1.1
0.1,240,60,100,1.26
0.1,240,80,50,0.5
0.1,240,80,50,0.7
0.1,240,80,50,0.5
0.1,240,80,100,0.4
0.1,240,80,100,0.5
0.1,240,80,100,0.4
